artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_name,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,release,song_hotttnesss,start_of_fade_out,tempo,time_signature,time_signature_confidence,title,year,bbhot
0.7804617487770407,0.5742747305168561,ARMQHX71187B9890D3,,"Atlanta, GA",,Mastodon,280.21506,0.23800000000000002,5,0.555,-3.306,1,0.5,Call of the Mastodon,0.5976407977147769,275.528,173.205,5,0.12,Deep Sea Creature,2001,0
0.5817937658450281,0.4019975433642836,ARD7TVE1187B99BFB1,,California - LA,,Casual,218.93178999999998,0.247,1,0.736,-11.197000000000001,0,0.636,Fear Itself,0.6021199899057548,218.93200000000002,92.198,4,0.778,I Didn't Mean To,0,0
0.6306300375898077,0.4174996449709784,ARMJAGH1187FB546F3,35.14968,"Memphis, TN",-90.04892,The Box Tops,148.03546,0.14800000000000002,6,0.16899999999999998,-9.843,0,0.43,Dimensions,,137.915,121.274,4,0.384,Soul Deep,1969,1
0.4873567909281477,0.34342837829688244,ARKRRTF1187B9984DA,,,,Sonora Santanera,177.47546,0.282,8,0.643,-9.689,1,0.565,Las Numero 1 De La Sonora Santanera,,172.304,100.07,1,0.0,Amor De Cabaret,0,0
0.6303823341467806,0.4542311565706205,AR7G5I41187FB4CE6C,,"London, England",,Adam Ant,233.40363,0.0,0,0.7509999999999999,-9.013,1,0.7490000000000001,Friend Or Foe,,217.12400000000002,119.29299999999999,4,0.0,Something Girls,1982,0
0.6510456608317947,0.40172368550367865,ARXR32B1187FB57099,,,,Gob,209.60608,0.066,2,0.092,-4.501,1,0.371,Muertos Vivos,0.6045007385888197,198.699,129.738,4,0.562,Face the Ashes,2007,0
0.5352927355118197,0.3854705505558211,ARKFYS91187B98E58F,,,,Jeff And Sheri Easter,267.7024,2.2640000000000002,5,0.635,-9.323,1,0.557,Ordinary Day,,254.27,147.782,3,0.45399999999999996,The Moon And I (Ordinary Day Album Version),0,0
0.5564956019129572,0.2619411773808474,ARD0S291187B9B7BF5,,Ohio,,Rated R,114.78159,0.096,1,0.0,-17.302,1,0.0,Da Ghetto Psychic,,114.78200000000001,111.787,1,0.0,Keepin It Real (Skit),0,0
0.8011364469966873,0.6055071356905752,AR10USD1187B99F3F1,,"Burlington, Ontario, Canada",,Tweeterfriendly Music,189.57016000000002,0.319,4,0.0,-11.642000000000001,0,0.16,Gin & Phonic,,181.023,101.43,3,0.408,Drop of Rain,0,0
0.4266678570694053,0.3322757465990681,AR8ZCNI1187B9A069B,,,,Planet P Project,269.81832,5.3,4,0.7170000000000001,-13.495999999999999,1,0.652,Pink World,0.2658610492106501,258.99,86.64299999999999,4,0.48700000000000004,Pink World,1984,0
0.5505136978482137,0.4227056410293911,ARNTLGG11E2835DDB9,,,,Clp,266.39628,0.084,7,0.053,-6.697,0,0.473,Superinstrumental,,261.747,114.041,4,0.878,Insatiable (Instrumental Version),0,0
0.3600311664643514,0.2962689543114633,ARGSJW91187B9B1D6B,35.21962,North Carolina,-80.01955,JennyAnyKind,218.77506,2.125,5,0.354,-10.021,0,0.485,I Need You,0.0,207.012,146.765,1,0.0,Young Boy Blues,0,1
0.5451592956008632,0.35155586118563925,ARC43071187B990240,,"Wisner, LA",,Wayne Watson,245.21097999999998,0.35700000000000004,7,0.07,-7.545,1,0.6859999999999999,The Way Home,0.2658610492106501,227.48,117.975,4,0.835,The Urgency (LP Version),0,0
0.5775089743252977,0.3794821702804675,ARL7K851187B99ACD2,,,,Andy Andy,226.35057,0.0,9,0.205,-6.632000000000001,1,0.305,Placer & Castigo,0.0,221.553,130.04,4,0.0,La Culpa,0,0
0.08551204710857879,0.25193652476242323,ARHHO3O1187B989413,,,,Bob Azzam,191.84281000000001,0.38,10,0.0,-7.75,0,0.198,Arrivederci,0.0,188.424,137.334,1,0.319,Auguri Cha Cha,0,0
0.7766758556845541,0.5530719914619753,ARIK43K1187B9AE54C,,"Beverly Hills, CA",,Lionel Richie,307.3824,0.612,3,0.524,-8.346,1,0.5329999999999999,Dancing On The Ceiling,,296.658,125.197,3,0.21100000000000002,Tonight Will Be Alright,1986,0
0.6364236449500698,0.4479354804795022,ARD842G1187B997376,43.648559999999996,"Toronto, Ontario, Canada",-79.38533000000001,Blue Rodeo,491.12771,0.0,7,1.0,-8.576,1,0.8290000000000001,Outskirts,0.4051157216913865,486.034,119.82600000000001,4,0.7559999999999999,Floating,1987,0
0.4199431484349393,0.33080635685585685,ARIG6O41187B988BDD,37.16793,United States,-95.84501999999999,Richard Souther,228.5971,0.223,8,0.040999999999999995,-16.11,1,0.516,Cross Currents,0.3347065490692206,217.426,127.756,5,0.579,High Tide,0,0
0.3632805711099885,0.3066760934790295,AR1ZHYZ1187FB3C717,,,,Faiz Ali Faiz,599.24853,1.193,6,0.06,-8.032,1,0.34600000000000003,Panjtan Ka Ghulam,,591.999,99.273,4,0.158,Sohna Nee Sohna Data,0,0
0.7071997638379363,0.5134632897021558,ARYKCQI1187FB3B18F,,,,Tesla,290.29832000000005,0.145,7,0.725,-5.271,1,0.7559999999999999,Gold,0.6841361912294903,285.605,150.062,4,0.9309999999999999,Caught In A Dream,2004,1
0.32031437017067216,0.0,ARNPAGP1241B9C7FD4,,,,lextrical,165.69423999999998,0.162,7,0.011000000000000001,-6.787000000000001,1,0.568,Whatever Happened To Boredom?,0.0,157.391,138.33100000000002,4,0.127,Synthetic Dream,0,0
0.3941385398458925,0.2915397270887777,ARQGYP71187FB44566,34.31109,"Mineola, AR",-94.02978,Jimmy Wakely,151.84933999999998,2.827,1,0.799,-15.220999999999998,1,0.716,1942-1952 Jimmy Wakely,,146.19899999999998,86.186,3,0.929,Broken-Down Merry-Go-Round,0,0
0.4898162689820407,0.3285530150180186,ARI3BMM1187FB4255E,38.8991,Washington,-77.029,Alice Stuart,220.78649,0.20600000000000002,11,0.809,-8.514,1,0.521,All The Good Times,0.0,207.65599999999998,110.382,1,0.192,Kassie Jones,0,0
0.6774204652262298,0.37825468551016656,AR5KOSW1187FB35FF4,49.80388,Dubai UAE,15.474910000000001,Elena,269.58322000000004,0.0,2,0.596,-8.05,1,0.6659999999999999,Un cafe_ setanta matins,0.3135621142479342,256.168,111.874,4,1.0,Setanta matins,0,0
0.839962768151037,0.5418889720336469,ARMAC4T1187FB3FA4C,40.826240000000006,"Morris Plains, NJ",-74.47995,The Dillinger Escape Plan,207.77751,0.061,7,0.381,-4.263999999999999,1,0.45299999999999996,Miss Machine,0.6665278462297023,204.696,166.862,4,0.0,Setting Fire to Sleeping Giants,2004,0
0.43541581815506936,0.3062422642462862,AR47JEX1187B995D81,37.83721,"Nevada, MO",-94.35868,SUE THOMPSON,124.86485,0.0,10,0.6970000000000001,-12.332,1,0.541,Sue Thompson - Her Very Best,0.4952936212921635,115.74,137.52200000000002,4,0.0,James (Hold The Ladder Steady),1985,1
0.6090637000310501,0.3636513650591166,ARGIWFO1187B9B55B7,,,,Five Bolt Main,225.09669,0.0,7,0.53,-5.9079999999999995,1,0.512,Live,0.37598430150044215,225.097,164.672,1,0.0,Made Like This (Live),0,0
